text,labels
"Certo #leali si sta dimostrando un vero ignorantone bifolco !!! Razzista e ottuso sta offuscando sua carriera che malgrado tutto è stata ondivaga ma rispetto a sua cultura,importante !! Gfvip fermatelo !!!",anger (W)
"Tw // racial slurs  Esigo che il concorrente Fausto Leali venga cacciato dal programma Grande Fratello Vip per aver elogiato il fascismo, andando contro la Costituzione Italiana, e usato termini razzisti contro uno dei concorrenti  #FUORILEALI @GrandeFratello",anger (W)
"AO DENIS DOSIO È CONTRO L'ABORTO, HA FATTO REVENGE PORN E SESSUALIZZA LE 11ENNI CHE LO SEGUONO COME FATE A DIRE CHE VI PIACE",anger (W)
"Esigo che il concorrente Fausto Leali venga cacciato dal programma Grande Fratello Vip per aver elogiato il fascismo, andando contro la Costituzione Italiana, e usato termini razzisti contro uno dei concorrenti  #FUORILEALI @GrandeFratello",anger (W)
"@simonestenti Non ci vuole un genio per capire che non ci si lamenta perché Pellegrini è Roberto Carlos, ci si lamenta perché de sciglio fa cagne ed è più marcio di mia nonna e ti tocca giocare un’anno con Sandro",anger (W)
"Felice domenica sera, carissimo Pasquale, ti abbraccio forte, a dopo❤🥰",joy (R)
"Piango, che belli ♥️",joy (R)
"Iconize  Gianmaria   Dai chi altro andrà da barbarella per mettere il bastone tra le ruote a Tommaso??  Che poraccitudine, che scuorn, volete solo visibilità e lo stanno capendo anche i muri   Ripigliatevi   #domenicalive #gfvip",anger (W)
"Che che se ne dica, colpa o non colpa il coronavirus in Sardegna è arrivato con i turisti. Pur sapendolo, la politica non è stata previdente.",sadness (E)
"@R_Ana87 sì come morti e TI stiamo andando meglio che a luglio. Sto notando che la Sardegna sta facendo numeri bassissimi di tamponi. Oggi 760 e 40 positivi. In proporzione 4 volte tanto la Lombardia e il Veneto. Non sarebbe male se si dessero più da fare, per circoscrivere meglio",fear (Q)
Adesso iniziano i guai #elisadirivombrosa,fear (Q)
ho caldo 🅰️🅾️ DOVE CAZZO È IL FREDDO DIO BONO I DECKERSTAR HANNO SCOPATO MA SCUSATE #LuciferSeason5,anger (W)
STREAM WALLS perché questo album è un fottuto capolavoro https://t.co/PRbb9zeXTo,joy (R)
"@bmwstar82 Rettifico: ieri sera un autogol, nel derby di Manchester si superò addirittura: due assist su due per i gol del City. Quando è nella nostra area è un pericolo. Poi, nei momenti decisivi, si mangia sempre gol grossolani. Tutto come previsto, il solito Lukaku di sempre.",sadness (E)
"""[...] spero vi sentiate comunque orgogliosi dello sforzo fatto in campo ieri [...]"" (Godin).  Vista la prestazione da incubo della squadra e del tecnico, avrebbe fatto più figura a non scrivere nulla sulla partita di ieri sera.  #FCIM #Inter #amala",sadness (E)
https://t.co/TWq4EEKYRq Che peccato!!! Era meglio se si perdeva il suo cervello dopo le boiate dette sul Covid-19 .,sadness (E)
E adesso iniziano i guai #elisadirivombrosa,fear (Q)
Non ci sto dormendo la notte.  #22Agosto #COVID19  https://t.co/KYf8LR1X1j,fear (Q)
"già Mauro. dov’è la sorpresa. neanche nel constatare quanti facciano così. pensarli tutti insieme, che rabbia però! grazie @maurobiani  #Bannon #sovranismo #indifferenza #disuguaglianza #stayhuman #umanitàvsindifferenza",anger (W)
"@pisto_gol Non sono degno di parlare di tattica calcistica però continuo a non capire i continui passaggi indietro dell'Inter. Troppi.  E la sofferenza per uscire dall'area dando più possibilità al pressing avversario. Gli errori capitano (Lukaku, Gagliardini...)",sadness (E)
"25 nuovi Ricoverati 1 nuova terapia intensiva 6% growth rate giornaliera (nuovi positivi su attuali positivi) ricordiamo a 10% suona grosso campanello di allarme, speriamo che dato sia inficiato da importazioni",fear (Q)
@Alex_Cavasinni Il Siviglia ha meritato... non siano pronti a questi livelli Inutile attacarsi all'arbitro.,sadness (E)
"Se solo le persone sapessero quanto è misto il nostro DNA, quante popolazioni hanno abitato la Sardegna e quanto fosse culturalmente vasta come terra. Lei è bellissima e quel vestito le appartiene come appartiene a tutti gli altri 💘",joy (R)
STREAM WALLS By Louis Tomlinson  Questo uomo merita il mondo intero quindi perfavore date al capolavoro che ha prodotto tutto il successo che si merita. Thanks luv✨ https://t.co/9xHJ4NgSKc,joy (R)
"Purtroppo? Caro Bergomi chiudi quella fogna che ti ritrovi come bocca, se vinciamo noi è perché c’è lo meritiamo quindi stai zitto",anger (W)
@bertolire @jacopo_iacoboni invece su Bannon i fascisti #DEMMERDA di felpini e cassandra hanno fatto lezioni di cattedra,anger (W)
Era il #22agosto 2002 quando la splendida #LauraPausini viene invitata come super ospite della serata al programma televisivo dolce italia registrato a #PiazzaDiSpagna dove duettò insieme a #LaraFabian il suo successo di sempre #LaSolitudine @LauraPausini https://t.co/NkjyLrKoHZ,joy (R)
"@simonacambarau @mavisini Ma non vivi solo tu in Sardegna....noi qui al nord viviamo di turismo...ci volevano test all'imbarco e maggiori controlli, e comunque io rispetto il distanziamento e me ne fotto",anger (W)
#M5S @ale_dibattista @luigidimaio @beppe_grillo   siete partiti dal concetto di politica “senza più segreti” con gli #streaming della Lombardi e Crimi con Bersani  al prolungare il #segretodistato per #Ustica con il motto : “la verità farebbe male”   VI ASPETTIAMO ALLE ELEZIONI,anger (W)
Povero cucciolo😥spero che lo ritrovino sano e salvo 😢😭,sadness (E)
"@GiandomenicoFu3 Negativo, animalista vegana e di sinistra. Adesso che è giovane va in Sardegna, fra qualche anno anche lei passerà le ferie a Capalbio. Un stronza del genere può solo essere di sinistra.",anger (W)
Il nostro Tommo è fantastico. STREAM WALLS  Vorrei avere almeno la metà della forza che ha lui. https://t.co/hkhK1LOymd,joy (R)
"STREAM WALLS perché è un album della madonna, sia vocalmente che dal punto di vista della scrittura, è il primo album dove louis si mostra per quello, mostra quello che vuole essere e quello che vuole dire, apprezzatelo perché è un diamante raro e prezioso https://t.co/ei45lLWASR",joy (R)
"#TheSociety e #iamnotokaywiththis cancellate!! Personalmente non sono per niente d’accordo, aspettavo con ansia la seconda stagione di #TheSociety 😭 https://t.co/TpQDEPsslZ",sadness (E)
"@Miti_Vigliero Il problema della Sardegna, e delle altre località turistiche italiane, è che non ci sono controlli. Le forze dell'ordine sono sparite, ci sono palesi violazioni ma nessuno viene multato, nè vengono chiusi i locali.",anger (W)
Bella questa!😀,joy (R)
Elisa ribelle del mio cuore 💗 #elisadirivombrosa,joy (R)
"Perché STREAM WALLS è in tendenza? PERCHÉ L’ALBUM DI LOUIS TOMLINSON È UN CAPOLAVORO,   UN  C A P O L A V O R O   FACTS https://t.co/Qccg0eUvaO",joy (R)
Prima venite in Sardegna a farvi la vacanza e la bella vita sapendo che era Covid-Free passando da Ibiza e comportandovi come degli incoscienti e poi ve la prendete pure con noi sardi perché siete risultati positivi al Corona. Ci vuole coraggio.,anger (W)
"@fenice_risorta Ha fatto tutto questo castello....xchè ha sentito l'umore di molti che nn vogliono alleanze con i 5s e ha paura di perdere,allora ha pensato a un PD nn più a 2 gambe ma a tre...Bettini sai che ti dico? Hai la faccia come il culo!Chi sei tu da decidere x noi...",anger (W)
"@inaitana @disinformatico Beh, chiaro, certo che mi preoccuperei. A volte, mi preoccupo anche in assenza di immuni, ché chiunque è un potenziale positivo asintomatico, quindi a maggior ragione a notifica, che debole quanto vuoi è però un indizio, VORREI sapere se sono positivo/contagioso, per me e altri.",fear (Q)
"NO RAGAZZI SONO INCAZZATA NERA! GUARDATE QUI!!! NE PIANGONO LA MORTE LA MAMMA E IL FRATELLO MICHELE. IL SUO ASSASSINO NE PIANGE LA MORTE? MA SIETE SERI? LA MADRE CHE AVREBBE PREFERITO VEDERLA MORTA ANZICHÉ CON CIRO. MI FATE VOMITARE, MI FATE SCHIFO. VERGOGNATEVI MERDE. https://t.co/tgEF1GSrWc",anger (W)
@GiovanniAbbade @venturinigiu @perchetantodio @giuliaselvaggi2 Chi ha scattato la foto è anche la persona che ha messo i bambini in ginocchio e che ha fatto girare la foto . Per me da denunciare lei e quell idiota di Toti,anger (W)
#laPeggiore_DESTRA_diSempre  Peggior ministro bestia del viminale    SALTARE L’85% DEI VERTICI UE PER ANDARE in tv  DALLA D’URSO a sparare cazzate contro #Europa #migranti  YouTube https://t.co/Puq3ai5jsL,anger (W)
BASTA!!! Oggi sono saturo. ANDATEVENE A FANCULO! @juventus #ParaticiOut #Suarez #DZEKO #entusiasmoZero,anger (W)
"Stavo usando il cellulare quando mi è comparsa una notifica di #immuni, però scomparsa subito, da sola. Ho aperto l'app e niente di rilevante. Devo preoccuparmi? 😳",fear (Q)
stavo andando su play store.. che serve per scaricare le applicazioni.. e mi trovo sta schifezza.. cos'è vogliono obbligarmi a scaricare l'app immuni?? mi fa imbestialire questa cosa.. ma scherziamo.. 😡 https://t.co/0CGHKbmlK5,anger (W)
"@gadlernertweet lei e i suoi compari seminate odio! abbia la decenza e il rispetto di  #DonRobertoMalgesini . taccia! lo chiedo per favore e con cortesia. L'assassino che lei chiama persona fisica , sappiamo tutti chi sia .",anger (W)
@jacopo_iacoboni Le mie più sentite condoglianze ❤,sadness (E)
#ARIANAISCOMING  il mio amore bellissimo sta tornando e non vedo l'ora ciao  i'm so nervous,joy (R)
@juventusfans @gerardromero È una tragedia. Speriamo che Milik accetti la Roma e che venga Dzeko. Resta il fatto che abbiamo una dirigenza di incapaci.,sadness (E)
"AMO PROFONDAMENTE  E si, sono una fanatica della Apple",joy (R)
Condoglianze.,sadness (E)
Pagliacci ammaestrati dal Grillo parlante di Pinocchio,anger (W)
"Per Martina #Trevisan un'altra straordinaria impresa, batte 6-4 6-4 Kiki Bertens e accede ai quarti di finale del #RolandGarros La 26enne toscana, numero 159 del mondo, batte con un doppio 6-4 l'olandese e si regala un posto tra le migliori otto. #tennis https://t.co/qMllnjYGTf",joy (R)
#YouCanSaveBayYanlış @globalagency  @BluTV vi amiamo♥️♥️,joy (R)
"La contessa de Blanck usa slur omofobi, Fausto leali usa parole razziste, Signorini idem, slur misogino da parte di Tommaso Zorzi però oh è trash quindi va visto comunque sto programma demmerda che insegna cose demmerda. Ci si lamenta, si fanno like ma poi si guarda.",anger (W)
"@capuanogio Quando hanno festeggiato la vittoria in Coppa Italia, la ASL tanto premurosa dove cazzo era?",anger (W)
@IRR19891 Vergognoso oggi. 2 punti buttati. Lazio 3 infortuni praticamente senza difesa. Parolo centrale di difesa. Conte talebano nelle scelte. Quest anno sara il nostro handicap.,anger (W)
Grazie Grande Giorgia Meloni . Non Mollare mai L’italia e il suo Popolo anno Bisogno di voi . Destra Unita . Uniti si Vince . E noi Vinceremo .🇮🇹🙏🏻👍❤️✌️🇮🇹,joy (R)
Non potrei essere più felice. @OfficialEl92 Mi sei mancato da morire. Bentornato a casa ❤,joy (R)
"IMPOSTORI!!!😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡  Il Pil dell'Italia scende del 12,8% Economia - ANSA https://t.co/ostb2XPDbI https://t.co/LhKfUIk5nq",anger (W)
"Tanti auguri a una persona stra speciale che non perde occasione a dimostrarci quanto ci ama e che ha deciso di portarci sempre con sé, con un tatuaggio  HAPPY BIRTHDAY JUNGKOOK💜💜  #HAPPYKOOKDAY #정국이의_행복이_아미의_행복 #JungkookDay",joy (R)
"Grata dell'esistenza di kookie, una stella che cammina in terra dal cuore d'oro. Lui è amore fatta a persona, mi trascina nel suo vortice e io non posso far altro che volergli tutto il bene di questo mondo💖 SO YEAH HAPPY BIRTHDAY JUNGKOOK  #JungkookDay",joy (R)
"Buon compleanno piccola stellina,,da quando ho visto il tuo sorriso hai cambiato completamente la mia vita. Non ti ringrazierò mai abbastanza💫🌿 #HappyBirthdayJungkook 🎉 #StillWithJungkook  #JungkookDay https://t.co/TCPSUZpyku",joy (R)
"Tanti auguri piccino mio,alla persona più fantastica e preziosa di questo mondo. Army love you too💕✨ #JungkookDay https://t.co/7Kjqmzhysr",joy (R)
"#JungkookDay Tanti auguri a questo scricciolo di bontà e di GNOCCAGINE divina, ti voglio e ti vorrò bene per Sempre Jeon Jungkook!!^^ Ti Amo❤️💕😍😘  -da una fan dal soprannome discutibile https://t.co/TJNap2TI9h",joy (R)
🤦🏻‍♀️ E quando ce ne usciamo qua...,sadness (E)
"Bello il libro, altrettanto il film.....dovrebbero farlo leggere e farlo vedere nelle scuole!!!!",joy (R)
L'unico che si deve vergognare è il guappo di Pomigliano d'Arco. Falso infame porco,anger (W)
Mi manchi bubi lassù starai meglio🥺❤️ #JUNGKOOK #JungkookDay #jungkookbirthday https://t.co/97FeskUmik,sadness (E)
"Tantissimi auguri Jeon Jungkook, all'uomo meraviglioso che sei, al ragazzo con un talento incredibile che da un anno fa parte della mia vita, non so nemmeno cosa dire perché avrei molto di cui parlare. Sei eccezionale, ujico, con una voce che mi mette i brividi #JungkookDay",joy (R)
Grazie jimin che ci regali queste perle🥺 #JungkookDay,joy (R)
"Sto sempre male quando leggo queste storie. Non mi abituerò.Mai e mai. Non sopporto la cattiveria,non sono assuefatta al https://t.co/AaujSqipsH Non sopporto nemmeno più il dolore che provo.",sadness (E)
"Ma quelli non sono mica #Giornalisti: sono solo volgari #giornalai, puttane della carta stampata che vendno articoli come marchette al miglior offerente. Anzi, i loro stessi editori sono corrotti e venduti. Tanto allae loro stronzate non ci credono neanche loro. #merdastampata",anger (W)
Bellissimo🥺🥺,joy (R)
Auguri a questo uomo che ha migliorato e migliora ogni giorno la mia vita 💜  #JungkookDay,joy (R)
"RAGA SONO MERAVIGLIOSI.. NON MI RIPRENDO PIU DA QUESTO MV, LO AMO DA MORIRE #DynamiteBsideMV #BTS_Dynamite @BTS_twt https://t.co/oxu4ZvD7j7",joy (R)
"Proprio perchè giornalista di Repubblica che si può, nel senso che solo in quella redazione e in quella dello StraFatto Quotidiano si può raggiungere simili livelli di bassezza",anger (W)
Grandissima @FedeBrignone,joy (R)
Vi prego guardate che cutie che è🥺🤧 #DynamiteBsideMV https://t.co/gmilUiDPp2,joy (R)
Quante idiozie @GiuseppeConteIT . Siete li solo per ricorrenza e non certo per amore del paese. Ascoltare e fare meglio? 4 anni di chiacchiere e 450 esperti non vi hanno ancora suggerito “il meglio” da fare? Chiamate un team di giapponesi. In “un mese” ricostruiscono tutto.,anger (W)
"@Davide Ma come si permette. Lei, signor Piacenza, quanto ha nei sondaggi, per esempio? Si candidi prima e poi, forse, potrà parlare! https://t.co/T9SLpElzhD",anger (W)
Noto che per ciò che riguarda l'#università si parla solo delle ricadute economiche degli affitti. Piuttosto limitante e demotivante.  https://t.co/RSmizWVNn6,sadness (E)
"Oggi 91 casi in Sardegna, manco in piena epidemia eravamo così. Contando anche tutti i contagi di ritorno (Lazio, Campania etc..) qui qualcosa ha fallito.  Piegati al dio turismo per avere due mesi di stipendio.",sadness (E)
"@alian_maria @BimbiMeb Ci si accorgerà poi del grave danno che il M5S, con avvallo prima della Lega e poi del Pd, sta facendo al Paese. #IoVotoNO",anger (W)
I brividi. Come si può spegnere una vita con così tanta facilità? Non ho parole.... #BlackLivesMatter #JacobBlake,sadness (E)
I miei casinari preferiti💜,joy (R)
"@GiorgiaMeloni Dispiace molto per quanto è accaduto bisognerebbe scannare  chi ci a portato a questa catastrofe cioè il governo attuale di incapaci, proposito il presidente della Repubblica nulla da dire , grazie anche a lei  non fai nulla per proteggere gli italiani",sadness (E)
"@dawac72 @elvielly @LBeddini La definizione di Parlamento come un ""gregge"" da sfoltire mi spaventa e allo stesso tempo mi fa pensare che tutto l'odio gettato fino ad oggi verso le istituzioni abbia creato un danno irreversibile verso i cittadini stessi #IoVotoNO",fear (Q)
@VivianaP1511 Ma chi vigore? Mattarella? #nonèilmiopresidente #nonèilmiogoverno #nonèilmiopapa  PRIMA GLI ITALIANI   #IOVOTONO,anger (W)
"@ligi_p @massimobitonci @repubblica Ah perché secondo te ha pure mentito ???? Quindi vuoi negare che molti di voi sono razzisti ??? Quando lo siete pure con gli stessi italiani ?? Ma per favore va, e abbiate almeno la decenza di vergognarvi e tacere",anger (W)
ma i tk che saltellano insime tutti felici 🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺  #DynamiteBsideMV,joy (R)
"@BeppeGiulietti @PBerizzi @repubblica @Artventuno @maurobiani @CVerdelli @eziomauro @gadlernertweet Mamma lui mi ha picchiato,gne gne, si però tu quella volta mi hai rubato il gelato. Ma checcazzo è un giornalista non uno qualunque.",anger (W)
"Boicottare #Repubblica, quotidiano schifoso.",anger (W)
non chiamate mahmood uomo bianco etero cis che per favore non lo conoscete minimamente,anger (W)
"ho pianto, sono minuscoli",sadness (E)
"Cassina di Pecchi!! Questo il nome dell'azienda  Non compriamo i loro prodotti, sfruttano i braccianti e li trattano da schiavi Retribuite e rispettate chi lavora! Non compriamo prodotti sporchi di sangue e sfruttamento",anger (W)
"@Arturo_Scotto @PBerizzi Giusto quelli di repubblica. Quelli che ci danno ogni giorno lezioni di democrazia, tolleranza, civiltà. Mentre sono maestri in un campo solo: l’odio.",anger (W)
"@Matteo67 @RepubblicaTv @repubblica quindi ammazziamo le persone, POI verifichiamo se è colpevole o no, se ha una pistola da qualche parte o meno! Insomma, ammazziamo un uomo, il cazzo ce l'ha, potrebbe stuprare",anger (W)
"""Miliiik vattene!!!""  Che razza di mongoloide provinciale, lo attaccherei alla panchina.",anger (W)
posso dire di godere come un riccio?,joy (R)
"Io questo metodo della prenotazione l’ho già risolto decidendo di seguire da casa, almeno lascio il posto a chi ha piacere di seguire in presenza. Non me la sento nemmeno di salire su mezzi pubblici troppo pieni , la casa l’ho lasciata per cui per me va bene così 🤞🏻  #università",fear (Q)
"Sparano alle spalle, soffocano un inerme....ormai non c'è più limite: se hai una divisa fai quel che vuoi.  Attendiamo inutilmente parole di condanna da #Trump  e dai tutti i suoi amichetti",anger (W)
E qualcuno ha anche il coraggio di dire che #BlackLivesMatter non ha senso!,anger (W)
Ricordiamoci di quando i piccoli cuccioli del quinto anno dovevano fare l’esame e si parlava solo e unicamente di loro e avevano anche la faccia tosta di lamentarsi. Di noi non si hanno notizie da mesi. Il primo di loro che si lamenta per l’uni lo prendo a schiaffi #universita,anger (W)
"#BlackLivesMatter è di nuovo in tendenza, che cazzo è successo stavolta",anger (W)
🇮🇹 POI DANNO LA COLPA AI TURISTI ITALIANI CHE RIENTRANO DALL'ESTERO   NON HO PAROLE...  #IPOCRISIA BUONISTA,anger (W)
"Aspettando le Imponenti misure anticrisi dovute al Coviddi della #RegioneSicilia capitanata dal nuovo Re di Di Sicilia gli Operatori Turistici tutti si sbracciano da soli per tenersi a galla. Chi fa da sé fa per tre. Settore Turismo abbandonato, già la colpa ha stato dei #Migrant",anger (W)
@matteosalvinimi Come mai non hai nulla da dire al sindaco di Verona per quello che è successo ieri mentre hai immediatamente criticato il sindaco di Palermo Orlando a dimenticavo a Verona c’è un sindaco leghista coerenza no vero,anger (W)
"come se già da prima non fosse un'ansia ed uno stress, la mia voglia di rinunciare agli studi cresce ogni giorno di più #università",sadness (E)
I miei bimbi come sono belli,joy (R)
"Dite quello che volete ma questo è il motivo per cui sto perdendo sempre più fiducia delle forze dell'ordine. Non è possibile che un poliziotto uccida a sangue freddo una persona disarmata, considerando che erano anche molti di più. #BlackLivesMatter",sadness (E)
Stai una favola...,joy (R)
Il Veneto ha di fatto eliminato PD e 5 stelle.. Grande Zaia,joy (R)
SI CAZZO,joy (R)
millie bobby brown mi sta piacendo sempre di più come attrice #EnolaHolmes,joy (R)
"@Rolaphax @mariacafagna No perchè con gli altri magari non c'era la stessa confidenza. Sallusti è una merda, ma in questo caso non vedo attribuirgli grandi colpe.",anger (W)
raga questa storia mi sta appassionando troppo aiutoooo,joy (R)
io veramente distrutta lasciamo stare #backdoor1stwin https://t.co/aPXXUNISdE,sadness (E)
"@NapolitanoIda Gianluca Perilli mi piace, diretto schietto, e dinamico, già con una carica importante come presidente del gruppo, ma e anche vero che lo vedrei bene nel collettivo",joy (R)
morirò d’ansia,fear (Q)
Fuori i nomi di chi paga persone ad insultare altri. Fuori i nomi Altrimenti parte subito denuncia alla Procura della Repubblica. Fuori i nomi. Fuori i nomi. Si prenda le sue responsabilità su quello che scrive nero su bianco . Fuori i nomi,anger (W)
Mamma miaaaaaaa... 😍😍😍,joy (R)
"@buliamentu in ogni caso, che c’è di sbagliato nel criticare ANCHE l’uso sbagliato dei pronomi da parte della stampa italiana, cosa a dir poco irrispettosa e transfobica? la relazione non era “gay” o “lgbt”, erano una ragazza e un ragazzo trans.",anger (W)
@fanpage Parla il grande politico che ha riempito il governo di esseri inutili e dannosi e si è  sistemato benissimo con una vita da straricchi. Un'ulteriore ragione per votare no. #IoVotoNO,anger (W)
Vedere la Ferrari così in difficoltà per noi italiani ma veramente male🥺😢 #TuscanGP #Formula1,sadness (E)
Mi spezza sentirlo così,sadness (E)
Ceccardi dice cose gravissime! Una disgraziata avrebbe detto la mia mamma!,anger (W)
"Se non si fa polemica,non si è contenti🤬",anger (W)
Minkia!! Ancora lo devono capire che devono buttarla nel 🚽 questa macchina!!! Ma li hanno lobotomizzati tutti a Maranello??? Oppure hanno messo in mensa Lapo che “condisce” i tortellini???,anger (W)
Le parole di Ciro sono strazianti. Non si può morire così. Non si può morire per l'ignoranza e la cattiveria  radicata nella nostra società. https://t.co/UrA6jSpaZS,sadness (E)
Adesso chi gli lo dice alla #CEI e ai #cattomofobi che a #Caivano si è consumato l’ennesimo delitto a sfondo #omotransfobico? Eppure sostengono che non ci sia bisogno della #leggeZan..che le leggi per contrastare L’ #omotransfobia ci sono già...ma le vittime aumentano stranamente,anger (W)
l'unica cosa bella di questa gara è stato il podio di ALBONOOOOO stra felice per lui💕 #TuscanGP #MugelloGP #Formula1 #Ferrari1000,joy (R)
ecco perché mi stanno sulle palle anche i politici con cui sono d'accordo,anger (W)
"Qui ho sbagliato: https://t.co/o4wfyPr6cE  La legge non serve contro l'#omofobia, ma contro la #omotransfobia.  Perché Ciro non è ""Cira"". Perché #MariaPaola non è stata ammazzata perché gay, ma perché il fratello non accettava che frequentasse un ragazzo trans.",anger (W)
"Condoglianze vivissime a @Totti per la perdita del suo amato padre. Cieli blu, campione nella vita e nel campo #Totti",sadness (E)
spero che sia felice oggi come tutti gli altri giorni. Jimin è una persona preziosissima e anche complessa. Se merita tanto 💜 #JIMINDAY #OurOctoberPrince  #지민이로_가득한_10월의_감동날 https://t.co/zwe5M1tXfw,joy (R)
Auguri patatone 🥺❤️❤️#HappyBirthdayJimin #jimin,joy (R)
Condoglianze Capitano ❤️ #Totti,sadness (E)
É un tesoro questo ragazzo 💜#HappyBirthdayJimin,joy (R)
"ma quanto potete essere ridicoli dio santo. ma ce l’avete un cervello o avete la scimmia di homer? dai, ammettetelo che siete gelosi di lui, perché lui è famoso e voi no 😔😔😚",sadness (E)
Non posso credere che il padre di #Totti sia morto a causa del Covid È terribile perdere una persona cara ma in questo modo ancora di più.Un abbraccio a tutta la famiglia,sadness (E)
"Addio Enzo, un abbraccio Francesco #Totti https://t.co/LX9NE9bn9g",sadness (E)
Ora piango. Quanto tempo è passatooo #littlemochi #AngelVoiceJimin #LovelyJiminDay #JIMIN #jiminbirthday https://t.co/WJWPChWwdo,sadness (E)
"Ciao ""Sceriffo"", orgoglio di padre di un pezzo della storia di Roma!Un abbraccio dai cagliaritani @Totti a te e famiglia.#Totti",sadness (E)
SEI BELLISSIMO OKAY?,joy (R)
"Buon compleanno alla persona piu pura, gentile e altruista che io conosca.Penso che ancora non esista una parola che possa esprimere al meglio quanto io ti ami e stimi.Grazie di cuore cutie sexy lovely Jiminie💜#HappyBirthdayJimin https://t.co/569oOfUAIa",joy (R)
Jiminie Buon compleanno 💜💜🎉🎊✨(Sono rimasta accecata dalla bellezza di quelle labbra),joy (R)
